PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4GSL_LIG,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2021,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2022,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2023,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2024,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2025,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2026,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2027,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2028,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2029,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2030,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2031,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2032,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2033,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2034,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2035,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2036,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2037,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2038,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2039,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAR,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2021,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2022,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2023,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2024,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2025,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2026,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2027,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2028,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2029,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2030,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2031,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2032,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2033,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2034,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2035,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2036,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2037,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2038,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2039,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAR,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2021,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2022,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2023,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2024,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2025,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2026,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2027,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2028,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2029,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2030,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2031,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2032,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2033,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2034,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2035,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2036,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2037,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2038,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2039,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_MAM,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2021,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2022,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2023,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2024,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2025,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2026,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2027,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2028,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2029,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2030,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2031,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2032,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2033,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2034,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2035,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2036,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2037,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2038,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2039,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4FOI_MAM,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2021,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2022,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2023,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2024,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2025,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2026,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2027,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2028,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2029,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2030,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2031,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2032,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2033,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2034,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2035,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2036,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2037,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2038,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2039,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2040,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2041,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2042,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2043,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2044,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2045,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2046,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2047,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2048,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2049,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2050,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2051,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2052,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2053,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2054,,,,,,0
EmissionActivityRatio,BAU,JAM,T4KER_AVI,,CO2e_TRN,1,2055,,,,,,0
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2021,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2022,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2023,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2024,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2025,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2026,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2027,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2028,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2029,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2030,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2031,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2032,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2033,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2034,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2035,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2036,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2037,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2038,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2039,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2040,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2041,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2042,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2043,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2044,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2045,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2046,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2047,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2048,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2049,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2050,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2051,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2052,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2053,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2054,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_HEA,,Health,1,2055,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2021,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2022,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2023,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2024,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2025,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2026,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2027,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2028,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2029,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2030,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2031,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2032,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2033,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2034,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2035,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2036,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2037,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2038,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2039,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2040,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2041,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2042,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2043,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2044,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2045,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2046,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2047,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2048,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2049,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2050,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2051,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2052,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2053,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2054,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_LIG,,Health,1,2055,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2021,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2022,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2023,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2024,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2025,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2026,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2027,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2028,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2029,,,,,,0.009676468585854548
EmissionActivityRatio,BAU,JAM,T4DSL_PRI,,Health,1,2030,,,,,,0.009676468585854548
